Time (s),Jitter
0.191518346,3.39285214e-05
0.192216162,-8.86984797e-06
0.192299491,-8.18896622e-06
0.192432957,-7.64468379e-06
0.192484638,3.76351345e-05
0.192486758,-8.47625094e-06
0.192694408,-6.11764442e-06
0.192796713,-6.41472454e-06
0.192875906,-1.25932143e-05
0.193061373,-8.04849066e-06
0.194040193,-8.84697778e-06
0.194250204,-7.84654969e-06
0.194438334,3.59868378e-05
0.195384426,3.78662523e-05
0.195773591,-8.28487734e-06
0.195870896,-6.58183794e-06
0.195962185,-6.8625062e-06
0.196126251,-9.91592358e-06
0.196215069,3.62294523e-05
0.196466767,-8.45754076e-06
0.196916015,-1.46845019e-05
0.196965694,-1.83434274e-05
0.197045846,-8.48541753e-06
0.197086136,3.91850289e-05
0.197303282,3.00097e-05
0.197304546,-8.24603508e-06
0.197709655,-9.34016176e-06
0.197835096,-6.77300969e-06
0.198129244,-9.90655974e-06
0.198218933,-7.58656546e-06
0.198477377,3.49366591e-05
0.19864513,-6.80818192e-06
0.198723531,-8.19956893e-06
0.198854685,-8.34281466e-06
0.199101568,-9.21315727e-06
0.199187066,3.92497435e-05
0.199741336,-7.00692705e-06
0.19988733,-9.98848976e-06
0.199963491,3.88109977e-05
0.200144685,-8.37227207e-06
0.200784333,-1.00018535e-05
0.200833446,-9.10437962e-06
0.201060433,-6.08205731e-06
0.201396013,-9.64803858e-06
0.201463662,-7.28847792e-06
0.201555983,-6.60163684e-06
0.20165884,-6.45095883e-06
0.202019845,-6.44429462e-06
0.202287096,-9.68229225e-06
0.202632796,-8.36965484e-06
0.202721893,-7.45796621e-06
0.202831743,-7.29844978e-06
0.202845503,3.19087223e-05
0.203150715,-7.29178356e-06
0.203289012,-7.58000122e-06
0.203514775,-6.33350532e-06
0.203611737,3.56699476e-05
0.203929468,-7.05083557e-06
0.204114327,-7.89875913e-06
0.204213841,3.95488437e-05
0.204511932,-7.53147114e-06
0.204653069,-8.6586448e-06
0.205052482,-6.06047323e-06
0.205252077,3.53116045e-05
0.205372614,-8.21604588e-06
0.205427231,-7.82410263e-06
0.205831092,-9.67029503e-06
0.205892093,-9.66050728e-06
0.206065487,-1.0042343e-05
0.206288242,-7.78646989e-06
0.206416252,-9.78529475e-06
0.206466292,-9.81468194e-06
0.206673183,-7.69492496e-06
0.206780064,-7.56730431e-06
0.206827481,-8.97427586e-06
0.206925434,-7.91831775e-06
0.206992563,-8.03824722e-06
0.207107894,-1.43537203e-05
0.207248606,-9.05477739e-06
0.207249902,3.66131598e-05
0.207386904,-9.37804915e-06
0.207515817,-6.28377165e-06
0.207607762,-8.21956849e-06
0.207974399,-6.84474422e-06
0.20840782,-6.25451462e-06
0.20886581,-6.23231332e-06
0.209244487,-6.897457e-06
0.209286535,-5.93955873e-06
0.209465829,-1.02214244e-05
0.210153727,-1.50957563e-05
0.210177251,3.73445679e-05
0.210638808,-8.19932203e-06
0.210685393,3.81789517e-05
0.210830553,-1.29671985e-05
0.21090562,-6.02630438e-06
0.21111483,-7.227184e-06
0.211703637,-8.019291e-06
0.212057106,2.84886965e-05
0.212139043,-6.44097639e-06
