Time (s),Mean Bit Life Time Per Packet
0.175514746,5.1336e-05
0.175664068,3.656e-06
0.175797645,5.0232e-05
0.175977239,5.1824e-05
0.176043648,5.2232e-05
0.176101201,5.0784e-05
0.176395125,5.1704e-05
0.176725089,5.3664e-05
0.176931548,1.012e-05
0.177221951,5.352e-05
0.177566691,5.1256e-05
0.177635332,4.9896e-05
0.177727789,5.1352e-05
0.177998377,8.936e-06
0.178261364,5.092e-05
0.17875977,5.332e-05
0.179088326,5.0872e-05
0.179258912,5.2456e-05
0.179826576,5.3112e-05
0.179847624,1.716e-05
0.180374366,5.1896e-05
0.18052852,5.2048e-05
0.180651138,6.664e-06
0.180783987,5.2512e-05
0.180850458,6.4981459e-05
0.180928381,5.2904e-05
0.181091879,5.34e-05
0.181092839,4.359376e-06
0.181284338,5.0856e-05
0.181465716,5.2232e-05
0.181529941,5.0456e-05
0.181821712,5.0224e-05
0.182093668,5.3176e-05
0.182139532,5.204e-05
0.18222651,7.016e-06
0.182545202,4.9704e-05
0.18258733,5.1832e-05
0.182642597,6.109821e-05
0.182776868,5.2368e-05
0.182864285,5.2784e-05
0.18302796,5.0456e-05
0.18308704,5.1536e-05
0.183297947,5.244e-05
0.183439213,4.9704e-05
0.183478733,5.1224e-05
0.183672192,5.368e-05
0.183777481,4.968e-06
0.183871578,5.0064e-05
0.183964339,5.2824e-05
0.184181262,5.2744e-05
0.184268599,5.208e-05
0.184269743,6.223413e-06
0.184402129,5.1608e-05
0.184481906,5.0384e-05
0.184611611,5.1088e-05
0.184945064,6.536e-06
0.185333876,5.2344e-05
0.185844499,4.996e-05
0.185845851,5.311426e-06
0.186049293,5.0752e-05
0.186645581,5.032e-06
0.186850919,5.2368e-05
0.186986281,5.1728e-05
0.187169364,4.808e-06
0.187303669,5.8112177e-05
0.187395758,5.22e-05
0.187444887,5.2328e-05
0.187623001,5.344e-05
0.187914116,5.2552e-05
0.187987965,5.14e-05
0.188027454,1.4888e-05
0.188287569,5.2e-05
0.188337738,5.0168e-05
0.188703918,5.0344e-05
0.188909073,5.2496e-05
0.188952937,5.136e-05
0.189008235,7.656e-06
0.189723739,5.1152e-05
0.189834853,4.264e-06
0.189953542,5.1952e-05
0.190110867,6.1275526e-05
0.19026237,5.1776e-05
0.190504757,5.216e-05
0.190742968,5.0368e-05
0.190819257,5.2656e-05
0.191024915,5.3312e-05
0.191518346,9.736e-06
0.192216162,5.2544e-05
0.192299491,5.1872e-05
0.192432957,5.1336e-05
0.192484638,6.015451e-06
0.192486758,5.2136e-05
0.192694408,4.9784e-05
0.192796713,5.0088e-05
0.192875906,5.628006e-05
0.193061373,5.1744e-05
0.194040193,5.2552e-05
